M0,Mend,V,constraint_station
0.5896296296,0.5585185185,5.43,Sadva
0.3417177914,0.2895705521,3.68,Rebnis
0.53,0.49,22.29,Bergnäs
0.5,0.7,0,Slagnäs
0.68,0.66,0.2579768519,Bastusel
0.85,0.89,3.78,Grytfors
0.34,0.78,-15.356962963,Gallejaur
0.845,0.96,3.5584953704,Vargfors
0.73,0.55,10.37,Rengård
0.84,0.67,2,Båtfors
0.78,0.78,0,Finnfors
0.83,0.76,0,Granfors
0.61,0.63,0,Krångfors
0.08,0.4,0,Selsfors
0.6866666667,0.5,1.3273809524,Kvistforsen
